CustomId,Color,Colors,Is_Translucent
1112,HO Dark Lime,"(0.44520119451622786, 0.4851499400560704, 0.09084171118340768, 1.0)",f
1113,HO Dark Red,"(0.12477181756095049, 0.006512090792594475, 0.006995410187265387, 1.0)",f
1114,HO Dark Sand Green,"(0.12213877222960187, 0.1946178304415758, 0.12213877222960187, 1.0)",f
1115,HO Dark Turquoise,"(0.005181516702338386, 0.2874408377269175, 0.33716361504833037, 1.0)",f
1116,HO Earth Orange,"(0.4969329950608704, 0.184474994500441, 0.010960094006488246, 1.0)",f
1117,HO Gold,"(0.45641102318040466, 0.386429433787049, 0.17464740365558504, 1.0)",f
1118,HO Light Aqua,"(0.3662525955988395, 0.6375968739940326, 0.5271151257058131, 1.0)",f
1119,HO Light Brown,"(0.3049873140698863, 0.08650046203654976, 0.03688945040110004, 1.0)",f
1120,HO Light Gold,"(0.6104955708078648, 0.5394794890121072, 0.31398871337571754, 1.0)",f
1121,HO Light Tan,"(0.9473065367331999, 0.8796223968878317, 0.5711248294648731, 1.0)",f
1122,HO Light Yellow,"(0.9130986517934192, 0.9559733532492861, 0.47353149614800955, 1.0)",f
1123,HO Medium Blue,"(0.1714411007328226, 0.3049873140698863, 0.5775804404296506, 1.0)",f
1124,HO Medium Red,"(0.5271151257058131, 0.005605391624202723, 0.005605391624202723, 1.0)",f
1125,HO Metallic Blue,"(0.004024717018496307, 0.06301001765316767, 0.12477181756095049, 1.0)",f
1126,HO Metallic Dark Gray,"(0.1119324278369056, 0.1119324278369056, 0.1119324278369056, 1.0)",f
1127,HO Metallic Green,"(0.24228112246555486, 0.31398871337571754, 0.13563332965520566, 1.0)",f
1128,HO Metallic Sand Blue,"(0.11443537382697373, 0.20507873639031693, 0.26225065752969623, 1.0)",f
1129,HO Olive Green,"(0.3277780980565422, 0.32314320911295075, 0.10224173308810132, 1.0)",f
1130,HO Rose,"(0.6307571363461468, 0.12213877222960187, 0.12213877222960187, 1.0)",f
1131,HO Sand Blue,"(0.1559264637078274, 0.25415209433082675, 0.38132601143253014, 1.0)",f
1132,HO Sand Green,"(0.35153259950043936, 0.5028864580325687, 0.41254261348390375, 1.0)",f
1133,HO Tan,"(0.7758222183174236, 0.6104955708078648, 0.3419144249086609, 1.0)",f
1134,HO Titanium,"(0.11953842798834562, 0.11953842798834562, 0.11953842798834562, 1.0)",f
1135,Metal,"(0.3762621229909065, 0.4178850708481375, 0.45641102318040466, 1.0)",f
1136,Reddish Orange,"(0.6583748172794485, 0.009134058702220787, 0.0, 1.0)",f
9999,[No Color/Any Color],"(0.0015176349177441874, 0.006512090792594475, 0.012286488356915872, 1.0)",f
