CustomId,Part Number,Colors,filename
95,2452,"['Black', 'Blue', 'Brown', 'Dark Gray', 'Green', 'Light Gray', 'Red', 'Tan', 'White', 'Yellow']",2452.dat
96,2453,"['Black', 'Blue', 'Bright Light Yellow', 'Bright Pink', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Pink', 'Dark Red', 'Earth Orange', 'Light Bluish Gray', 'Light Gray', 'Light Yellow', 'Maersk Blue', 'Medium Azure', 'Medium Nougat', 'Orange', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow', 'Dark Blue']",2453.dat
97,2454,"['Black', 'Blue', 'Blue-Violet', 'Bright Light Orange', 'Bright Light Yellow', 'Bright Pink', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Pink', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Green', 'Lavender', 'Light Aqua', 'Light Bluish Gray', 'Light Gray', 'Light Nougat', 'Light Yellow', 'Magenta', 'Medium Azure', 'Medium Lavender', 'Medium Nougat', 'Olive Green', 'Orange', 'Red', 'Reddish Brown', 'Sand Green', 'Tan', 'White', 'Yellow', 'Trans-Clear', 'Trans-Dark Blue', 'Trans-Light Blue', 'Trans-Medium Blue', 'Trans-Neon Green', 'Trans-Orange', 'Yellowish Green', 'Trans-Brown', 'Trans-Dark Pink']",2454.dat
98,2456,"['Black', 'Blue', 'Bright Green', 'Bright Light Orange', 'Bright Light Yellow', 'Bright Pink', 'Brown', 'Coral', 'Dark Azure', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Dark Turquoise', 'Green', 'Light Aqua', 'Light Bluish Gray', 'Light Gray', 'Light Nougat', 'Light Yellow', 'Lime', 'Maersk Blue', 'Medium Azure', 'Medium Blue', 'Medium Lavender', 'Medium Nougat', 'Medium Orange', 'Neon Yellow', 'Nougat', 'Olive Green', 'Orange', 'Pink', 'Red', 'Reddish Brown', 'Sand Green', 'Tan', 'White', 'Yellow', 'Yellowish Green', 'Trans-Orange', 'Pearl Light Gray', 'Milky White', 'Trans-Neon Orange', 'Metallic Silver']",2456.dat
99,2458,"['Black', 'Blue', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Green', 'Light Bluish Gray', 'Light Gray', 'Light Violet', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow', 'Milky White']",2458.dat
100,2460,"['Black', 'Blue', 'Bright Light Orange', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Green', 'Light Bluish Gray', 'Light Gray', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow']",2460.dat
101,2462,"['Black', 'Blue', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Medium Nougat', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow']",2462.dat
102,2463,"['Black', 'Blue', 'Light Gray', 'White', 'Yellow', 'Trans-Green', 'Red']",2463.dat
103,2464,"['Black', 'Light Gray', 'Red', 'White']",2464.dat
104,2465,"['Black', 'Blue', 'Dark Azure', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Pink', 'Dark Turquoise', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Medium Azure', 'Medium Nougat', 'Orange', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow']",2465.dat
105,2466,"['Black', 'Blue', 'White', 'Yellow', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Light Blue', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Neon Yellow', 'Trans-Orange', 'Trans-Red', 'Trans-Yellow', 'Trans-Brown']",2466.dat
106,2466p07,['White'],2466p07.dat
107,2466p68,['Trans-Neon Green'],2466p68.dat
108,2467,"['Black', 'Blue', 'Light Gray', 'White']",2467.dat
109,2468,"['Black', 'Trans-Dark Blue', 'Trans-Light Blue', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Red', 'Trans-Yellow']",2468.dat
110,2470,"['Black', 'Blue', 'Brown', 'Dark Gray', 'Green', 'Light Gray', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow']",2470.dat
111,2498,"['Blue', 'Green', 'Medium Azure', 'Medium Blue', 'Red', 'Trans-Light Blue']",2498.dat
112,2476,"['Black', 'Blue', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Tan', 'Green', 'Light Bluish Gray', 'Light Gray', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow']",2476.dat
113,2479,"['Black', 'Blue', 'Light Bluish Gray', 'Light Gray', 'Tan']",2479.dat
114,2483,"['Trans-Dark Blue', 'Trans-Light Blue', 'Trans-Neon Orange', 'Trans-Brown']",2483.dat
115,2486,"['Black', 'Brown', 'Dark Bluish Gray', 'Light Bluish Gray', 'Light Gray', 'Orange', 'Red', 'White', 'Yellow', 'Metallic Silver', 'Chrome Silver']",2486.dat
116,2489,"['Black', 'Brown', 'Dark Bluish Gray', 'Dark Brown', 'Dark Gray', 'Light Bluish Gray', 'Light Gray', 'Medium Blue', 'Medium Nougat', 'Reddish Brown', 'Sand Blue', 'Tan', 'Chrome Silver']",2489.dat
117,2493,"['Black', 'Blue', 'Green', 'Light Bluish Gray', 'Light Gray', 'Light Violet', 'Medium Orange', 'Orange', 'Red', 'Reddish Brown', 'White', 'Yellow']",2493.dat
118,2494,"['Black', 'Tan', 'Trans-Clear', 'Trans-Light Blue', 'Trans-Brown']",2494.dat
119,2494p01,['Trans-Clear'],2494p01.dat
120,2496,"['Black', 'Bright Green', 'Dark Pink', 'Dark Purple', 'Dark Turquoise', 'Medium Lavender', 'White', 'Yellow', 'Green']",2496.dat
121,2500c01,['White'],2500c01.dat
122,2507,"['Light Gray', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Light Blue', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Red']",2507.dat
123,2508,"['Black', 'Blue', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Green', 'Light Gray', 'Tan', 'White', 'Yellow']",2508.dat
124,251,"['Black', 'Red']",251.dat
125,2512,"['Light Bluish Gray', 'Light Gray', 'Lime', 'Red', 'Yellow']",2512.dat
126,2513,"['Black', 'Red', 'White', 'Yellow']",2513.dat
127,2516,"['Black', 'Blue', 'Light Bluish Gray', 'Light Gray', 'White', 'Yellow', 'Brown']",2516.dat
128,2518,"['Bright Green', 'Green', 'Pearl Gold']",2518.dat
129,2524,"['Black', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Dark Tan', 'Green', 'Light Bluish Gray', 'Reddish Brown', 'White']",2524.dat
130,2529,"['Blue', 'Brown', 'Green', 'Medium Blue', 'Pink', 'Reddish Brown', 'White', 'Yellow', 'Pearl Gold']",2529.dat
131,2536,"['Brown', 'Light Gray']",2536.dat
132,2539,"['Black', 'Dark Bluish Gray', 'Dark Gray', 'White']",2539.dat
